=== ALL PUBLIC TABLES — 625 total ===

Table                                         RLS  Pol  Cols  Rows      Size      
social_schedule_slots                         ON   5    13    36        80 KB     
staff                                         ON   2    12    0         16 KB     
staff_chats                                   ON   2    15    0         16 KB     
staff_conversations                           ON   2    7     0         16 KB     
staff_members                                 ON   2    9     0         16 KB     
staff_schedules                               ON   2    7     0         8 KB      
storm_events                                  ON   2    15    0         80 KB     
subscription_plans                            ON   2    20    4         48 KB     
subscription_tiers                            ON   2    13    3         48 KB     
subscriptions                                 ON   6    21    3         80 KB     
system_events                                 ON   7    29    10114     8 MB      
system_health                                 ON   5    17    0         16 KB     
target_accounts                               ON   5    28    5         96 KB     
target_personas                               ON   2    32    35        128 KB    
task_automation_rules                         ON   5    20    162       176 KB    
task_automation_rules_template                ON   2    12    21        32 KB     
task_execution_log                            ON   2    10    0         16 KB     
task_executions                               ON   5    16    0         32 KB     
tasks                                         ON   5    30    2         128 KB    
team_activity_logs                            ON   2    14    8         112 KB    
team_invitations                              ON   2    22    7         112 KB    
team_member_notifications                     ON   2    15    0         40 KB     
team_member_sessions                          ON   0    17    0         40 KB     
team_members                                  ON   2    24    3         128 KB    
tenant_audit_log                              ON   2    39    80        344 KB    
tenant_channels                               ON   0    9     0         16 KB     
tenant_config                                 ON   2    430   42        488 KB    
tenant_cta_library                            ON   1    12    28        80 KB     
tenant_health_probe                           ON   2    17    135       216 KB    
tenant_icp_config                             ON   5    24    25        112 KB    
tenant_integrations                           ON   6    20    2         64 KB     
tenant_oauth_grants                           ON   6    18    0         40 KB     
tenant_onboarding                             ON   7    10    3         64 KB     
tenant_phone_numbers                          ON   5    24    3         32 KB     
tenant_providers                              ON   5    13    0         16 KB     
tenant_services                               ON   5    8     0         16 KB     
tenant_templates                              ON   5    9     0         16 KB     
tenants                                       ON   2    25    0         16 KB     
tender_documents                              ON   1    8     4         32 KB     
tender_payments                               ON   1    17    6         48 KB     
tender_stages                                 ON   1    8     8         32 KB     
tenders                                       ON   1    27    8         48 KB     
treatment_media                               ON   2    9     0         16 KB     
treatment_notes                               ON   2    16    0         16 KB     
treatment_records                             ON   2    19    0         16 KB     
treatments                                    ON   5    14    0         40 KB     
trend_insights                                ON   5    14    5599      3 MB      
trending_topics                               ON   2    9     0         16 KB     
trigger_events                                ON   5    23    99        216 KB    
trigger_monitors                              ON   5    18    95        168 KB    
unified_predictions                           ON   1    11    0         40 KB     
usage_records                                 ON   5    8     3         80 KB     
user                                          ON   1    15    1         64 KB     
user_api_keys                                 ON   1    8     1         64 KB     
user_roles                                    ON   1    5     48        32 KB     
users                                         ON   1    12    48        80 KB     
video_analytics                               ON   1    17    0         32 KB     
video_assets                                  ON   5    18    0         32 KB     
video_performance_signals                     ON   2    14    154       112 KB    
video_projects                                ON   2    34    171       976 KB    
video_publishing_log                          ON   2    11    1         64 KB     
video_render_queue                            ON   2    20    106       112 KB    
video_retargeting_audiences                   ON   5    14    4         80 KB     
